title,company,location,posted_date,salary,skills,experience_required,description,employment_type,url,source,repost_count,first_seen,last_seen
Cybersecurity Analyst,Innovative Solutions,Riyadh - via GulfTalent,,,cybersecurity,Not Specified,"Company

Innovative Solutions (IS) is a leading pure-player cyber security company in the GCC established in 2003, headquartered in Riyadh with presence in Al Khobar, Jeddah, Dubai, and Abu Dhabi. Our cybersecurity solutions and services encompass advisory services, technical assurance, solution dep",Full-time,https://www.gulftalent.com/saudi-arabia/jobs/cybersecurity-analyst-615139,jsearch,1,2026-09-12T11:36:41.383452+00:00,2026-09-12T11:44:25.761937+00:00
Cyber Security Product - Senior Manager,Hays,Riyadh - via LinkedIn,,,cybersecurity,Not Specified,"Your New Role

An opportunity has arisen to join a premier, market-leading cybersecurity and digital transformation entity in Saudi Arabia. Backed by energy and digital sector leaders, this powerhouse firm delivers advanced cybersecurity advisory, threat intelligence, and managed defence solutions t",Full-time,https://sa.linkedin.com/jobs/view/cyber-security-product-senior-manager-at-hays-4452243649,jsearch,1,2026-09-12T11:36:41.383452+00:00,2026-09-12T11:44:25.761937+00:00
Cybersecurity GRC Specialist,Tibah Airports Operation Co.,Mecca - via GulfTalent,,,cybersecurity,Not Specified,"Responsibilities

Manage and oversee the implementation of cybersecurity strategies, policies, standards, and procedures across the organization.

Conduct cybersecurity risk assessments to identify threats, vulnerabilities, and risks across IT and OT/ICS environments.

Develop, track, and monitor cy",Full-time,https://www.gulftalent.com/saudi-arabia/jobs/cybersecurity-grc-specialist-611212,jsearch,1,2026-09-12T11:36:41.383452+00:00,2026-09-12T11:44:25.761937+00:00
AI Tech Consultant Cybersecurity - Riyadh | BCG Platinion,Boston Consulting Group,Riyadh - via BCG Careers - Boston Consulting Group,,,Not Specified,Not Specified,"Who We Are

At BCG Platinion, we close the gap between strategy and technology. We design and build AI tech strategies, AI solutions, and next-generation platform architectures that turn ambition into execution, turning buzzwords into a true business engine and real competitive advantage.

Working a",Full-time,https://careers.bcg.com/global/en/job/58528/AI-Tech-Consultant-Cybersecurity-Riyadh-BCG-Platinion,jsearch,1,2026-09-12T11:36:41.383452+00:00,2026-09-12T11:44:25.761937+00:00
Cyber Security Engineer,AIQU,Saudi Arabia - via Foundit,,,cybersecurity,5+ years,"We are looking for an experienced Senior Cyber Security Engineer with a strong background in Industrial Control Systems (ICS) / Operational Technology (OT) to join a leading industrial project in Saudi Arabia.

Key Requirements:

✅ 5+ years of OT/ICS Cybersecurity experience

✅ Hands-on experience w",Full-time,https://www.founditgulf.com/job/cyber-security-engineer-aiqu-saudi-arabia-60900663,jsearch,1,2026-09-12T11:36:41.383452+00:00,2026-09-12T11:44:25.761937+00:00
"Saudi Arabia Cybersecurity, Threat Intelligence & Fraud Protection Cyber Fraud Analyst (Data Analyst)",Group-IB,Saudi Arabia - via JobLeads,,,cybersecurity,Not Specified,"← Back to all vacancies Saudi Arabia Cybersecurity, Threat Intelligence & Fraud Protection
Cyber Fraud Analyst (Data Analyst)
What makes the role special
Founded in 2003 and headquartered in Singapore, Group-IB is a leading creator of cybersecurity technologies to investigate, prevent, and fight dig",Full-time,https://www.jobleads.com/sa/job/saudi-arabia-cybersecurity-threat-intelligence-fraud-protection-cyber-fraud-analyst-data-analyst--saudi-arabia--ed07e0b0f91ccf4de9bbd019c039f6aef,jsearch,1,2026-09-12T11:36:41.383452+00:00,2026-09-12T11:44:25.761937+00:00
SOC Specialist: Cyber Defense (Detection & Monitoring),ES Consulting,Riyadh - via BeBee,,,Not Specified,Not Specified,"We're Hiring | Cyber Defense Specialist — Detection & Monitoring (Saudi Nationals Only)

We are looking for a Cyber Defense Specialist to join our resident SOC team supporting a leading government entity in Riyadh (on-site).

What you'll do

• Build and enhance detection capabilities across EDR, DLP",متعاقد,https://bebee.com/sa/jobs/soc-specialist-cyber-defense-detection-monitoring-es-consulting-riyadh-riyadh--t7xk-815245593,jsearch,1,2026-09-12T11:36:41.383452+00:00,2026-09-12T11:44:25.761937+00:00
Senior Cybersecurity Specialist,TAWANTECH,Riyadh - via GulfTalent,,,"cybersecurity, siem",Not Specified,"Provide end-to-end production support for cybersecurity platforms including Splunk (SIEM), SOAR, and VPN infrastructure ensuring high availability and service reliability.

Monitor security platforms, dashboards, and alerts to ensure continuous operational effectiveness and proactive issue detection",Full-time,https://www.gulftalent.com/saudi-arabia/jobs/senior-cybersecurity-specialist-609784,jsearch,1,2026-09-12T11:36:41.383452+00:00,2026-09-12T11:44:25.761937+00:00
ICS Cybersecurity Engineer,Air Products,ضبا‎ - via LinkedIn,,,Not Specified,Not Specified,"At Air Products, we reimagine what’s possible. By tapping into the motivation of our people and our collective experience, we create the ideas and innovations that drive us forward. When we come together – where every voice is heard and everyone knows they belong and matter – we create solutions tha",Full-time,https://sa.linkedin.com/jobs/view/ics-cybersecurity-engineer-at-air-products-4416684883,jsearch,1,2026-09-12T11:36:41.383452+00:00,2026-09-12T11:44:25.761937+00:00
DevOps Engineer,ARENGY,Dammam - via LinkedIn,,,devops,Not Specified,"ARENGY is a specialized engineering and technology consulting company supporting clients across the Middle East and Europe.

We are looking for a profile of DevOps Engineer - Solution Integration & Operations as a contractor to be based in Dammam, Saudi Arabia in order to support existing client's t",Full-time,https://sa.linkedin.com/jobs/view/devops-engineer-at-arengy-4446580307,jsearch,1,2026-09-12T11:36:41.383452+00:00,2026-09-12T11:44:25.761937+00:00
